29/06/1976,Guelph,Ontario,N1H,,1992 VO2 RAFIKI  1991 VO1 TRUMP  1990 VO1 GUUMBAY  1989 RA1 PROF
30/06/1976,San Antonio,Texas,,,1992 VO1 SPLINTER  1991 VO1 SPARKY  1990 VO1 MAVERICK  1989 RA1 BLAZE
30/06/1976,,,,Mexico,1993 VO2 CONRAD;  1993 VO3 BAGU
05/07/1976,,Connecticut,,United States,1991 VO3 CALI  1990 VO3 OLERUD  1989 RA3 TORCH
10/07/1976,Barrie,Ontario,L4N,,1991 VO2 BEAR  1990 VO4 GILLIGAN
10/07/1976,Cheltenham,Ontario,L0P,,1992 VO1 TATONKA  1991 VO1 WOODSTOCK  1990 VO1 DIGGER  1989 RA1 ICEMAN
13/07/1976,Burk's Falls,Ontario,P0A,,1990 VO4 GILLIGAN
13/07/1976,Pickering,Ontario,L1V,,1990 VO3 SHORTY
19/07/1976,Waterloo,Ontario,N2K,,1990 RA2 STAFFORD
21/07/1976,Mactier,Ontario,P0C,,1990 VO2 GILLIGAN  1989 RA2 HIGHLANDER
21/07/1976,Stayner,Ontario,L0M,,1991 VO2 BEAR  1990 VO4 GILLIGAN  1989 FR1 HAWKEYE
27/07/1976,,Missouri,,United States,1990 RA3 SPARKY  1989 FR3 STRAND
29/07/1976,Thornton,Ontario,L0L,,1991 VO1 LOBY
31/07/1976,Guelph,Ontario,N1E,,1990 RA2 TIGGER
04/08/1976,London,Ontario,N6J,,1990 RA3 POLO  1989 RA2 DOC
06/08/1976,,Quebec,H3Z 3C9,,1991 VO2 MOOSE  1990 RA1 BUFF
08/08/1976,Niagara Falls,Ontario,L2E,,1991 VO3 SPARKY  1990 FR3 LERCH
13/08/1976,Mississauga,Ontario,L5G,,1991 VO2 CALI  1990 RA2 STANG
18/08/1976,Owen Sound,Ontario,N4K,,1990 VO1 BINO
20/08/1976,Stittsville,Ontario,K2S,,1992 VO2 ZIMBY  1991 VO2 BEAR  1990 VO2 HOLLYWOOD
21/08/1976,Etobicoke,Ontario,M9W,,1989 RA3 DOC
22/08/1976,Brantford,Ontario,N3T,,1989 RA1 MAESTRO
28/08/1976,Emsdale,Ontario,P0A,,1992 SN2 MOUNTAINEERS  1991 SN2 BADGER  1990 SN3 MOUNTAINEERS  1989 SN2 YAZ
02/09/1976,Toronto,Ontario,M4S,,1992 VO3 SPLINTER  1991 VO1 BEAR  1990 RA1 SLING
04/09/1976,Waterford,Ontario,N0E,,1990 RA2 POLO  1990 RA3 STAFFORD
06/09/1976,Caledon,Ontario,L0N,,1992 VO1 SPLINTER  1991 VO1 GILLIGAN  1990 VO1 DIGGER  1989 RA1 ICEMAN
07/09/1976,Ottawa,Ontario,K1S,,1990 RA1 BAM-BAM
07/09/1976,Willowdale,Ontario,M2J,,1990 RA1 TIGGER  1990 RA2 POLO  1989 RA2 GNORT  1989 RA3 GNORT
08/09/1976,Kitchener,Ontario,N2N,,2006 WP4 WORK PROGRAM  2005 WP3 DYZNO;GABLE;MIME;HAYWIRE  2003 SN4 JR  2002 SN4 TRIPS  2000 SN3 MOOSE;FORREST  1999 SN2 MOOSE  1998 SN2 MOOSE  1997 SN2 SHAGGY  1996 SN3 SHAGGY  1995 SN2 CHIPPER
16/09/1976,Bluevale,Ontario,N0G,,1989 RA2 ICEMAN
17/09/1976,Carp,Ontario,K0A,,1989 RA3 DOUBLE ROCK
19/09/1976,Ancaster,Ontario,L9G,,1991 VO2 BUFF  1990 RA2 BAM-BAM  1990 RA3 SPARKY  1989 FR2 MOOSE;CHAIN
19/09/1976,Toronto,Ontario,M4G,,1989 RA3 TORCH
20/09/1976,Cambridge,Ontario,N3C,,1991 VO1 WOODSTOCK  1990 RA1 STANG  1989 FR1 MOOSE
22/09/1976,,NWT,,,1990 RA3 STANG
25/09/1976,Cookstown,Ontario,L0L,,1991 VO1 LOBY  1990 RA1 STANG  1989 RA1 ICEMAN
03/10/1976,Lindsay,Ontario,K9V,,1991 SN2 BADGER  1990 SN1 BADGER
